alpha power seltype Ne rec mut s1 s2 h t
0.01 0.857142857142857 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.02 0.877551020408163 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.03 0.918367346938776 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.04 0.918367346938776 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.05 0.938775510204082 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.06 0.959183673469388 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.07 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.08 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.09 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.1 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.11 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.12 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.13 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.14 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.15 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.16 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.17 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.18 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.19 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.2 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.21 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.22 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.23 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.24 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
0.25 0.979591836734694 2 1e-8 0.01 0.01 0.25 160000 NA NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.0727272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.02 0.109090909090909 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.03 0.163636363636364 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.04 0.218181818181818 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.05 0.290909090909091 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.06 0.309090909090909 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.07 0.327272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.08 0.327272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.09 0.345454545454545 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.1 0.381818181818182 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.11 0.381818181818182 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.12 0.4 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.13 0.4 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.14 0.436363636363636 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.15 0.509090909090909 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.16 0.527272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.17 0.527272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.18 0.527272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.19 0.527272727272727 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.2 0.545454545454545 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.21 0.545454545454545 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.22 0.563636363636364 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.23 0.563636363636364 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.24 0.581818181818182 2 1e-8 0.01 0.01 0.25 16000 NA NA
0.25 0.581818181818182 2 1e-8 0.01 0.01 0.25 16000 NA NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.956521739130435 2 1e-8 0.01 0.01 0.25 320000 NA NA
0.02 0.956521739130435 2 1e-8 0.01 0.01 0.25 320000 NA NA
0.03 0.956521739130435 2 1e-8 0.01 0.01 0.25 320000 NA NA
