alpha power seltype Ne rec mut s1 s2 t
0.01 0.924242424242424 OD 2 1e-8 1e-8 0.01 0.01 160000
0.02 0.939393939393939 OD 2 1e-8 1e-8 0.01 0.01 160000
0.03 0.939393939393939 OD 2 1e-8 1e-8 0.01 0.01 160000
0.04 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.05 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.06 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.07 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.08 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.09 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.1 0.954545454545455 OD 2 1e-8 1e-8 0.01 0.01 160000
0.11 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.12 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.13 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.14 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.15 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.16 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.17 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.18 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.19 0.96969696969697 OD 2 1e-8 1e-8 0.01 0.01 160000
0.2 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
0.21 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
0.22 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
0.23 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
0.24 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
0.25 0.984848484848485 OD 2 1e-8 1e-8 0.01 0.01 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0.0757575757575758 OD 2 1e-8 1e-8 0.01 0.01 16000
0.02 0.151515151515152 OD 2 1e-8 1e-8 0.01 0.01 16000
0.03 0.227272727272727 OD 2 1e-8 1e-8 0.01 0.01 16000
0.04 0.287878787878788 OD 2 1e-8 1e-8 0.01 0.01 16000
0.05 0.287878787878788 OD 2 1e-8 1e-8 0.01 0.01 16000
0.06 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.01 16000
0.07 0.348484848484849 OD 2 1e-8 1e-8 0.01 0.01 16000
0.08 0.348484848484849 OD 2 1e-8 1e-8 0.01 0.01 16000
0.09 0.363636363636364 OD 2 1e-8 1e-8 0.01 0.01 16000
0.1 0.363636363636364 OD 2 1e-8 1e-8 0.01 0.01 16000
0.11 0.393939393939394 OD 2 1e-8 1e-8 0.01 0.01 16000
0.12 0.439393939393939 OD 2 1e-8 1e-8 0.01 0.01 16000
0.13 0.454545454545455 OD 2 1e-8 1e-8 0.01 0.01 16000
0.14 0.46969696969697 OD 2 1e-8 1e-8 0.01 0.01 16000
0.15 0.515151515151515 OD 2 1e-8 1e-8 0.01 0.01 16000
0.16 0.515151515151515 OD 2 1e-8 1e-8 0.01 0.01 16000
0.17 0.575757575757576 OD 2 1e-8 1e-8 0.01 0.01 16000
0.18 0.590909090909091 OD 2 1e-8 1e-8 0.01 0.01 16000
0.19 0.590909090909091 OD 2 1e-8 1e-8 0.01 0.01 16000
0.2 0.606060606060606 OD 2 1e-8 1e-8 0.01 0.01 16000
0.21 0.606060606060606 OD 2 1e-8 1e-8 0.01 0.01 16000
0.22 0.606060606060606 OD 2 1e-8 1e-8 0.01 0.01 16000
0.23 0.606060606060606 OD 2 1e-8 1e-8 0.01 0.01 16000
0.24 0.606060606060606 OD 2 1e-8 1e-8 0.01 0.01 16000
0.25 0.621212121212121 OD 2 1e-8 1e-8 0.01 0.01 16000
