alpha power seltype Ne rec mut s1 s2 h t
0.01 0.857142857142857 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.02 0.857142857142857 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.03 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.04 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.05 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.06 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.07 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.08 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.09 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.1 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.11 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.12 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.13 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.14 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.15 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.16 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.17 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.18 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.19 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.2 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.21 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.22 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.23 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.24 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
0.25 1 2 1e-8 1e-8 0.01 0.01 0.25 160000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 0.135135135135135 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.02 0.135135135135135 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.03 0.189189189189189 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.04 0.243243243243243 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.05 0.27027027027027 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.06 0.297297297297297 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.07 0.378378378378378 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
0.08 0.378378378378378 2 1e-8 1e-8 0.01 0.01 0.25 16000 NA
