alpha power seltype Ne rec mut s1 s2 t
0.01 0 neutral 2 1e-8 1e-8 0 0 160000
0.02 0.02 neutral 2 1e-8 1e-8 0 0 160000
0.03 0.04 neutral 2 1e-8 1e-8 0 0 160000
0.04 0.07 neutral 2 1e-8 1e-8 0 0 160000
0.05 0.08 neutral 2 1e-8 1e-8 0 0 160000
0.06 0.1 neutral 2 1e-8 1e-8 0 0 160000
0.07 0.1 neutral 2 1e-8 1e-8 0 0 160000
0.08 0.1 neutral 2 1e-8 1e-8 0 0 160000
0.09 0.1 neutral 2 1e-8 1e-8 0 0 160000
0.1 0.12 neutral 2 1e-8 1e-8 0 0 160000
0.11 0.14 neutral 2 1e-8 1e-8 0 0 160000
0.12 0.15 neutral 2 1e-8 1e-8 0 0 160000
0.13 0.15 neutral 2 1e-8 1e-8 0 0 160000
0.14 0.17 neutral 2 1e-8 1e-8 0 0 160000
0.15 0.17 neutral 2 1e-8 1e-8 0 0 160000
0.16 0.19 neutral 2 1e-8 1e-8 0 0 160000
0.17 0.19 neutral 2 1e-8 1e-8 0 0 160000
0.18 0.22 neutral 2 1e-8 1e-8 0 0 160000
0.19 0.23 neutral 2 1e-8 1e-8 0 0 160000
0.2 0.25 neutral 2 1e-8 1e-8 0 0 160000
0.21 0.26 neutral 2 1e-8 1e-8 0 0 160000
0.22 0.27 neutral 2 1e-8 1e-8 0 0 160000
0.23 0.29 neutral 2 1e-8 1e-8 0 0 160000
0.24 0.29 neutral 2 1e-8 1e-8 0 0 160000
0.25 0.3 neutral 2 1e-8 1e-8 0 0 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0 neutral 2 1e-8 1e-8 0 0 16000
0.02 0 neutral 2 1e-8 1e-8 0 0 16000
0.03 0 neutral 2 1e-8 1e-8 0 0 16000
0.04 0.01 neutral 2 1e-8 1e-8 0 0 16000
0.05 0.05 neutral 2 1e-8 1e-8 0 0 16000
0.06 0.07 neutral 2 1e-8 1e-8 0 0 16000
0.07 0.08 neutral 2 1e-8 1e-8 0 0 16000
0.08 0.08 neutral 2 1e-8 1e-8 0 0 16000
0.09 0.08 neutral 2 1e-8 1e-8 0 0 16000
0.1 0.09 neutral 2 1e-8 1e-8 0 0 16000
0.11 0.09 neutral 2 1e-8 1e-8 0 0 16000
0.12 0.12 neutral 2 1e-8 1e-8 0 0 16000
0.13 0.12 neutral 2 1e-8 1e-8 0 0 16000
0.14 0.12 neutral 2 1e-8 1e-8 0 0 16000
0.15 0.13 neutral 2 1e-8 1e-8 0 0 16000
0.16 0.13 neutral 2 1e-8 1e-8 0 0 16000
0.17 0.13 neutral 2 1e-8 1e-8 0 0 16000
0.18 0.14 neutral 2 1e-8 1e-8 0 0 16000
0.19 0.14 neutral 2 1e-8 1e-8 0 0 16000
0.2 0.14 neutral 2 1e-8 1e-8 0 0 16000
0.21 0.16 neutral 2 1e-8 1e-8 0 0 16000
0.22 0.18 neutral 2 1e-8 1e-8 0 0 16000
0.23 0.18 neutral 2 1e-8 1e-8 0 0 16000
0.24 0.18 neutral 2 1e-8 1e-8 0 0 16000
0.25 0.2 neutral 2 1e-8 1e-8 0 0 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 0 neutral 2 1e-8 1e-8 0 0 320000
0.02 0.02 neutral 2 1e-8 1e-8 0 0 320000
0.03 0.02 neutral 2 1e-8 1e-8 0 0 320000
0.04 0.03 neutral 2 1e-8 1e-8 0 0 320000
0.05 0.04 neutral 2 1e-8 1e-8 0 0 320000
0.06 0.04 neutral 2 1e-8 1e-8 0 0 320000
0.07 0.05 neutral 2 1e-8 1e-8 0 0 320000
0.08 0.06 neutral 2 1e-8 1e-8 0 0 320000
0.09 0.07 neutral 2 1e-8 1e-8 0 0 320000
0.1 0.09 neutral 2 1e-8 1e-8 0 0 320000
0.11 0.09 neutral 2 1e-8 1e-8 0 0 320000
0.12 0.09 neutral 2 1e-8 1e-8 0 0 320000
0.13 0.11 neutral 2 1e-8 1e-8 0 0 320000
0.14 0.13 neutral 2 1e-8 1e-8 0 0 320000
0.15 0.13 neutral 2 1e-8 1e-8 0 0 320000
0.16 0.15 neutral 2 1e-8 1e-8 0 0 320000
0.17 0.16 neutral 2 1e-8 1e-8 0 0 320000
0.18 0.16 neutral 2 1e-8 1e-8 0 0 320000
0.19 0.16 neutral 2 1e-8 1e-8 0 0 320000
0.2 0.16 neutral 2 1e-8 1e-8 0 0 320000
0.21 0.16 neutral 2 1e-8 1e-8 0 0 320000
