alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.02 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.05 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.02 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.01 0.5 160000 0
0.01 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 16000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 16000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.02 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.01 0.5 160000 0
0.01 0 SA 20000 1e-8 1e-8 1 0.5 0.25 160000 100
0.01 0 SA 20000 1e-8 1e-8 0.5 1 0.25 160000 100
0.01 0.5 OD 20000 1e-8 1e-8 0.2 0.2 0 320000 100
0.01 0.58 OD 20000 1e-8 1e-8 0.02 0.02 0 320000 100
0.01 0.574257425742574 OD 20000 1e-8 1e-8 0.1 0.1 0 320000 101
0.01 0.554455445544555 OD 20000 1e-8 1e-8 1 1 0 320000 101
0.01 0.4 OD 20000 1e-8 1e-8 0.5 0.1 0 320000 100
0.01 0.4 OD 20000 1e-8 1e-7 1 0.5 0 160000 100
0.01 0.4 OD 20000 1e-8 1e-7 0.1 0.2 0 160000 100
0.01 0.49 OD 20000 1e-8 1e-8 0.1 0.1 0 320000 100
0.01 0.49 OD 20000 1e-8 1e-8 0.05 0.05 0 320000 100
0.01 0.495049504950495 OD 20000 1e-8 1e-8 0.5 0.5 0 320000 101
0.01 0.48 OD 20000 1e-8 1e-7 0.01 0.1 0 160000 100
0.01 0.47 OD 20000 1e-8 1e-8 0.01 0.1 0 320000 100
0.01 0.47 OD 20000 1e-8 1e-7 0.2 0.2 0 160000 100
0.01 0.46 OD 20000 1e-8 1e-7 0.1 0.05 0 160000 100
0.01 0.46 OD 20000 1e-8 1e-7 0.05 0.01 0 160000 100
0.01 0.45 OD 20000 1e-8 1e-7 0.2 0.1 0 160000 100
0.01 0.455445544554455 OD 20000 1e-8 1e-7 1 1 0 160000 101
0.01 0.44 OD 20000 1e-8 1e-7 1 0.1 0 160000 100
0.01 0.43 OD 20000 1e-8 1e-8 0.1 0.01 0 320000 100
0.01 0.43 OD 20000 1e-8 1e-8 0.05 0.01 0 320000 100
0.01 0.43 OD 20000 1e-8 1e-7 0.1 1 0 160000 100
0.01 0.42 OD 20000 1e-8 1e-7 0.1 0.01 0 160000 100
0.01 0.41 OD 20000 1e-8 1e-8 1 0.1 0 320000 100
0.01 0.3 OD 2000 1e-8 1e-8 1 1 0 16000 100
0.01 0.3 OD 20000 1e-8 1e-8 0.5 1 0 320000 100
0.01 0.3 OD 20000 1e-8 1e-8 0.01 0.02 0 320000 100
0.01 0.3 OD 20000 1e-8 1e-7 1 0.2 0 160000 100
0.01 0.39 OD 20000 1e-8 1e-8 1 0.2 0 320000 100
0.01 0.39 OD 20000 1e-8 1e-8 0.05 0.1 0 320000 100
0.01 0.39 OD 20000 1e-8 1e-8 0.02 0.1 0 320000 100
0.01 0.39 OD 20000 1e-8 1e-8 0.01 0.01 0 320000 100
0.01 0.39 OD 20000 1e-8 1e-7 0.05 0.1 0 160000 100
0.01 0.39 OD 20000 1e-8 1e-7 0.05 0.05 0 160000 100
