alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 NaN SA 20000 1e-8 1e-8 1 0.5 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 1 0.2 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 1 0.2 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 1 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 1 0.1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.5 1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.5 0.2 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.5 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.5 0.1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.2 1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.2 1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.2 0.5 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.2 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.5 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.5 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.2 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.05 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.02 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.02 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.01 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.1 0.01 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.02 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.02 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.01 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.05 0.01 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.05 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.05 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.02 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.02 0.01 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.1 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.1 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.05 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.05 0.25 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.02 0.5 160000 0
0.01 NaN SA 20000 1e-8 1e-8 0.01 0.01 0.5 160000 0
0.01 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 320000 0
0.01 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 32000 0
0.01 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 160000 0
0.01 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 16000 0
0.01 NaN OD 2000 1e-8 1e-8 0.05 0.01 0 320000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 320000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 32000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 160000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 16000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 320000 0
0.01 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 160000 0
0.01 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 320000 0
0.01 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 32000 0
0.01 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 160000 0
0.01 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 16000 0
0.01 NaN OD 2000 1e-8 1e-7 0.05 0.01 0 320000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 320000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 32000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 160000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 16000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 320000 0
0.01 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 160000 0
0.01 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 320000 0
0.01 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 32000 0
0.01 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 160000 0
0.01 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 16000 0
0.01 NaN OD 2000 1e-7 1e-8 0.05 0.01 0 320000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 320000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 32000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 160000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 16000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 320000 0
0.01 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 160000 0
0.01 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 320000 0
0.01 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 32000 0
0.01 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 160000 0
0.01 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 16000 0
0.01 NaN OD 2000 1e-7 1e-7 0.05 0.01 0 320000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.1 0 320000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.1 0 32000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.1 0 160000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.1 0 16000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.05 0 320000 0
0.01 NaN OD 2000 1e-7 1e-7 0.01 0.05 0 160000 0
0.01 NaN AP 20000 1e-8 1e-8 1 0.5 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 1 0.2 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 1 0.2 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 1 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 1 0.1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.5 1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.5 0.2 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.5 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.5 0.1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.2 1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.2 1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.2 0.5 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.2 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.5 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.5 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.2 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.05 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.02 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.02 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.01 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.1 0.01 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.05 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.05 0.02 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.05 0.01 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.05 0.01 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.05 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.02 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.02 0.01 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.1 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.1 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.05 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.05 0.25 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.02 0.5 160000 0
0.01 NaN AP 20000 1e-8 1e-8 0.01 0.01 0.5 160000 0
0.01 1 OD 2000 1e-8 1e-7 1 0.5 0 320000 100
0.01 1 OD 2000 1e-8 1e-7 0.5 0.2 0 320000 100
0.01 1 OD 2000 1e-8 1e-7 0.2 0.2 0 160000 100
0.01 1 OD 2000 1e-8 1e-7 0.2 0.1 0 320000 100
0.01 1 OD 2000 1e-8 1e-7 0.1 0.1 0 320000 100
0.01 1 OD 2000 1e-8 1e-7 0.1 0.02 0 320000 78
0.01 1 OD 2000 1e-8 1e-7 0.05 0.05 0 320000 81
0.01 1 OD 2000 1e-8 1e-7 0.05 0.02 0 160000 80
0.01 1 OD 2000 1e-8 1e-7 0.02 0.02 0 320000 74
0.01 1 OD 2000 1e-8 1e-7 0.01 0.02 0 320000 74
0.01 1 OD 2000 1e-8 1e-7 0.01 0.01 0 320000 77
0.01 0 OD 2000 1e-7 1e-8 0.1 0.5 0 16000 100
0.01 0 OD 2000 1e-7 1e-8 0.05 0.1 0 16000 100
0.01 0 OD 20000 1e-8 1e-8 1 0.5 0 32000 77
0.01 0 OD 20000 1e-8 1e-8 1 0.1 0 16000 81
0.01 0 OD 20000 1e-8 1e-8 0.5 0.5 0 32000 88
0.01 0 OD 20000 1e-8 1e-8 0.5 0.1 0 32000 83
0.01 0 OD 20000 1e-8 1e-8 0.2 1 0 32000 78
0.01 0 OD 20000 1e-8 1e-8 0.2 1 0 16000 78
0.01 0 OD 20000 1e-8 1e-8 0.2 0.5 0 32000 78
0.01 0 OD 20000 1e-8 1e-8 0.2 0.2 0 32000 77
0.01 0 OD 20000 1e-8 1e-8 0.2 0.1 0 32000 76
0.01 0 OD 20000 1e-8 1e-8 0.1 0.2 0 32000 73
0.01 0 OD 20000 1e-8 1e-8 0.1 0.1 0 32000 86
0.01 0 OD 20000 1e-8 1e-8 0.1 0.02 0 32000 75
0.01 0 OD 20000 1e-8 1e-8 0.05 0.1 0 32000 80
0.01 0 OD 20000 1e-8 1e-8 0.05 0.02 0 32000 79
0.01 0 OD 20000 1e-8 1e-8 0.05 0.02 0 16000 79
0.01 0 OD 20000 1e-8 1e-8 0.05 0.01 0 32000 73
0.01 0 OD 20000 1e-8 1e-8 0.05 0.01 0 16000 73
0.01 0 OD 20000 1e-8 1e-8 0.02 0.02 0 32000 76
0.01 0 OD 20000 1e-8 1e-8 0.02 0.01 0 32000 74
0.01 0 OD 20000 1e-8 1e-8 0.01 0.1 0 32000 79
0.01 0 OD 20000 1e-8 1e-8 0.01 0.05 0 32000 73
0.01 0 OD 20000 1e-8 1e-8 0.01 0.02 0 32000 75
0.01 0 OD 20000 1e-8 1e-7 1 0.5 0 32000 77
0.01 0 OD 20000 1e-8 1e-7 1 0.2 0 32000 78
0.01 0 OD 20000 1e-8 1e-7 0.5 1 0 32000 77
0.01 0 OD 20000 1e-8 1e-7 0.5 0.2 0 32000 75
0.01 0 OD 20000 1e-8 1e-7 0.2 1 0 32000 78
0.01 0 OD 20000 1e-8 1e-7 0.2 0.5 0 32000 78
0.01 0 OD 20000 1e-8 1e-7 0.2 0.5 0 16000 78
0.01 0 OD 20000 1e-8 1e-7 0.1 0.5 0 32000 81
0.01 0 OD 20000 1e-8 1e-7 0.1 0.2 0 32000 73
0.01 0 OD 20000 1e-8 1e-7 0.1 0.1 0 32000 86
0.01 0 OD 20000 1e-8 1e-7 0.1 0.1 0 32000 76
0.01 0 OD 20000 1e-8 1e-7 0.1 0.1 0 16000 76
0.01 0 OD 20000 1e-8 1e-7 0.1 0.05 0 32000 76
0.01 0 OD 20000 1e-8 1e-7 0.05 0.05 0 32000 79
0.01 0 OD 20000 1e-8 1e-7 0.05 0.02 0 32000 79
0.01 0 OD 20000 1e-8 1e-7 0.02 0.1 0 32000 73
0.01 0 OD 20000 1e-8 1e-7 0.02 0.05 0 32000 81
0.01 0 OD 20000 1e-8 1e-7 0.01 0.02 0 32000 75
0.01 0 OD 20000 1e-8 1e-7 0.01 0.02 0 16000 75
0.01 0 OD 20000 1e-7 1e-8 0.5 1 0 32000 76
0.01 0 OD 20000 1e-7 1e-8 0.5 0.2 0 32000 79
0.01 0 OD 20000 1e-7 1e-8 0.2 1 0 32000 80
0.01 0 OD 20000 1e-7 1e-8 0.2 1 0 320000 80
0.01 0 OD 20000 1e-7 1e-8 0.2 0.2 0 16000 80
0.01 0 OD 20000 1e-7 1e-8 0.2 0.1 0 32000 74
0.01 0 OD 20000 1e-7 1e-8 0.2 0.1 0 16000 74
0.01 0 OD 20000 1e-7 1e-8 0.2 0.1 0 160000 100
0.01 0 OD 20000 1e-7 1e-8 0.1 0.5 0 32000 76
0.01 0 OD 20000 1e-7 1e-8 0.1 0.5 0 16000 76
0.01 0 OD 20000 1e-7 1e-8 0.1 0.2 0 32000 77
0.01 0 OD 20000 1e-7 1e-8 0.1 0.1 0 32000 83
0.01 0 OD 20000 1e-7 1e-8 0.1 0.02 0 32000 77
0.01 0 OD 20000 1e-7 1e-8 0.1 0.02 0 16000 77
0.01 0 OD 20000 1e-7 1e-8 0.05 0.02 0 16000 79
0.01 0 OD 20000 1e-7 1e-8 0.05 0.01 0 32000 81
0.01 0 OD 20000 1e-7 1e-8 0.02 0.1 0 32000 76
0.01 0 OD 20000 1e-7 1e-8 0.02 0.1 0 16000 76
0.01 0 OD 20000 1e-7 1e-8 0.02 0.05 0 32000 80
0.01 0 OD 20000 1e-7 1e-8 0.02 0.05 0 16000 80
0.01 0 OD 20000 1e-7 1e-8 0.02 0.01 0 32000 75
0.01 0 OD 20000 1e-7 1e-8 0.01 0.1 0 32000 79
0.01 0 OD 20000 1e-7 1e-8 0.01 0.05 0 32000 72
0.01 0 OD 20000 1e-7 1e-8 0.01 0.02 0 32000 79
0.01 0 OD 20000 1e-7 1e-8 0.01 0.01 0 32000 87
0.01 0 OD 20000 1e-7 1e-8 0.01 0.01 0 16000 87
0.01 0 OD 20000 1e-7 1e-7 1 0.5 0 32000 76
0.01 0 OD 20000 1e-7 1e-7 1 0.5 0 16000 76
0.01 0 OD 20000 1e-7 1e-7 1 0.1 0 16000 74
0.01 0 OD 20000 1e-7 1e-7 0.5 0.5 0 32000 86
0.01 0 OD 20000 1e-7 1e-7 0.5 0.5 0 16000 86
0.01 0 OD 20000 1e-7 1e-7 0.5 0.2 0 32000 79
0.01 0 OD 20000 1e-7 1e-7 0.5 0.1 0 16000 76
0.01 0 OD 20000 1e-7 1e-7 0.2 1 0 16000 80
0.01 0 OD 20000 1e-7 1e-7 0.2 0.1 0 32000 74
0.01 0 OD 20000 1e-7 1e-7 0.1 1 0 32000 77
0.01 0 OD 20000 1e-7 1e-7 0.1 0.5 0 16000 76
0.01 0 OD 20000 1e-7 1e-7 0.1 0.2 0 32000 77
0.01 0 OD 20000 1e-7 1e-7 0.1 0.1 0 16000 83
0.01 0 OD 20000 1e-7 1e-7 0.1 0.05 0 16000 77
0.01 0 OD 20000 1e-7 1e-7 0.1 0.02 0 32000 77
0.01 0 OD 20000 1e-7 1e-7 0.1 0.02 0 16000 77
0.01 0 OD 20000 1e-7 1e-7 0.05 0.02 0 32000 79
0.01 0 OD 20000 1e-7 1e-7 0.05 0.02 0 16000 79
0.01 0 OD 20000 1e-7 1e-7 0.05 0.01 0 32000 81
0.01 0 OD 20000 1e-7 1e-7 0.02 0.1 0 16000 76
0.01 0 OD 20000 1e-7 1e-7 0.02 0.05 0 32000 80
0.01 0 OD 20000 1e-7 1e-7 0.02 0.02 0 32000 76
0.01 0 OD 20000 1e-7 1e-7 0.01 0.1 0 32000 79
0.01 0 OD 20000 1e-7 1e-7 0.01 0.1 0 16000 79
0.01 0 OD 20000 1e-7 1e-7 0.01 0.02 0 32000 79
0.01 0 OD 20000 1e-7 1e-7 0.01 0.02 0 16000 79
0.01 0.9 OD 2000 1e-8 1e-8 0.1 0.2 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 1 0.5 0 160000 100
0.01 0.99 OD 2000 1e-8 1e-7 1 0.1 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.5 0.5 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.5 0.1 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.2 1 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.2 0.2 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.1 0.5 0 320000 100
0.01 0.99 OD 2000 1e-8 1e-7 0.1 0.5 0 160000 100
0.01 0.98 OD 2000 1e-8 1e-8 0.01 0.01 0 320000 100
0.01 0.98 OD 2000 1e-8 1e-7 0.5 1 0 320000 100
0.01 0.98 OD 2000 1e-8 1e-7 0.5 1 0 160000 100
