alpha power seltype Ne rec mut s1 s2 h t nsim tf
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 32000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 16000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.1 0.01 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.05 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.05 0.01 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 32000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 16000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.1 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-8 0.01 0.05 0 160000 0 0.1666667
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 32000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 16000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.1 0.01 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.05 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.05 0.01 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 32000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 16000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.1 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 320000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 160000 0 0.5
0.1 NaN OD 2000 1e-8 1e-7 0.01 0.05 0 160000 0 0.1666667
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 32000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 16000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 160000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.1 0.01 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.05 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.05 0.01 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 32000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 320000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 16000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 160000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.1 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 320000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 320000 0 0.1666667
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 160000 0 0.5
0.1 NaN OD 2000 1e-7 1e-8 0.01 0.05 0 160000 0 0.1666667
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 32000 0 0.5
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 32000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 320000 0 0.5
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 320000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 16000 0 0.5
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 16000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 160000 0 0.5
0.1 NaN OD 2000 1e-7 1e-7 0.1 0.01 0 160000 0 0.09090909
0.1 NaN OD 2000 1e-7 1e-7 0.05 0.01 0 320000 0 0.5
