"pstar","seltype_recoded","selalpha","pred_power"
0,"OD",0.05,0.0109888697480616
0.01,"OD",0.05,0.0117106270280323
0.02,"OD",0.05,0.0124791917160962
0.03,"OD",0.05,0.0132975183742981
0.04,"OD",0.05,0.0141687371121706
0.05,"OD",0.05,0.0150961625291178
0.06,"OD",0.05,0.0160833029044083
0.07,"OD",0.05,0.0171338696091809
0.08,"OD",0.05,0.018251786708498
0.09,"OD",0.05,0.0194412007142591
0.1,"OD",0.05,0.0207064904416337
0.11,"OD",0.05,0.0220522769125209
0.12,"OD",0.05,0.0234834332393034
0.13,"OD",0.05,0.0250050944107722
0.14,"OD",0.05,0.0266226668894812
0.15,"OD",0.05,0.0283418379158861
0.16,"OD",0.05,0.0301685843993842
0.17,"OD",0.05,0.0321091812597604
0.18,"OD",0.05,0.0341702090645542
0.19,"OD",0.05,0.0363585607885034
0.2,"OD",0.05,0.0386814475005411
0.21,"OD",0.05,0.0411464027619232
0.22,"OD",0.05,0.0437612854960729
0.23,"OD",0.05,0.0465342810668751
0.24,"OD",0.05,0.0494739002776893
0.25,"OD",0.05,0.052588975978669
0.26,"OD",0.05,0.0558886569455128
0.27,"OD",0.05,0.0593823986691261
0.28,"OD",0.05,0.0630799506735185
0.29,"OD",0.05,0.0669913399594473
0.3,"OD",0.05,0.0711268501548034
0.31,"OD",0.05,0.0754969959406632
0.32,"OD",0.05,0.0801124923155634
0.33,"OD",0.05,0.0849842182613397
0.34,"OD",0.05,0.0901231743833705
0.35,"OD",0.05,0.0955404341179758
0.36,"OD",0.05,0.101247088131835
0.37,"OD",0.05,0.107254181584425
0.38,"OD",0.05,0.113572643986487
0.39,"OD",0.05,0.120213211467124
0.4,"OD",0.05,0.127186341360896
0.41,"OD",0.05,0.134502119145476
0.42,"OD",0.05,0.142170157900959
0.43,"OD",0.05,0.150199490624
0.44,"OD",0.05,0.158598455913334
0.45,"OD",0.05,0.167374577746472
0.46,"OD",0.05,0.176534440288351
0.47,"OD",0.05,0.186083558907866
0.48,"OD",0.05,0.196026248822878
0.49,"OD",0.05,0.206365493042451
0.5,"OD",0.05,0.217102811519201
0,"OD",0.2,0.010593679275313
0.01,"OD",0.2,0.0113164660280308
0.02,"OD",0.2,0.0120879646643392
0.03,"OD",0.2,0.0129113732521972
0.04,"OD",0.2,0.0137900878916767
0.05,"OD",0.2,0.0147277132920889
0.06,"OD",0.2,0.0157280736694768
0.07,"OD",0.2,0.0167952239347536
0.08,"OD",0.2,0.0179334611346945
0.09,"OD",0.2,0.0191473360987741
0.1,"OD",0.2,0.0204416652343804
0.11,"OD",0.2,0.0218215424011148
0.12,"OD",0.2,0.0232923507815941
