"pstar","seltype_recoded","selalpha","pred_power"
0.1,"OD",0,0.0207955095995581
0.25,"OD",0,0.0522135588795212
0.5,"OD",0,0.212471290190057
0.1,"OD",0.02,0.0207598570757062
0.25,"OD",0.02,0.0523634208751877
0.5,"OD",0.02,0.214315191877928
0.1,"OD",0.04,0.0207242643820953
0.25,"OD",0.04,0.0525136891687777
0.5,"OD",0.04,0.216170703164047
0.1,"OD",0.06,0.0206887314227537
0.25,"OD",0.06,0.0526643647248786
0.5,"OD",0.06,0.218037821028971
0.1,"OD",0.08,0.0206532581018484
0.25,"OD",0.08,0.0528154485095781
0.5,"OD",0.08,0.219916541006071
0.1,"OD",0.1,0.0206178443236852
0.25,"OD",0.1,0.0529669414904624
0.5,"OD",0.1,0.221806857164341
0.1,"OD",0.12,0.020582489992708
0.25,"OD",0.12,0.0531188446366138
0.5,"OD",0.12,0.223708762091418
0.1,"OD",0.14,0.0205471950134994
0.25,"OD",0.14,0.0532711589186073
0.5,"OD",0.14,0.225622246876818
0.1,"OD",0.16,0.0205119592907799
0.25,"OD",0.16,0.0534238853085089
0.5,"OD",0.16,0.227547301095409
0.1,"OD",0.18,0.020476782729408
0.25,"OD",0.18,0.0535770247798725
0.5,"OD",0.18,0.229483912791125
0.1,"OD",0.2,0.0204416652343804
0.25,"OD",0.2,0.0537305783077374
0.5,"OD",0.2,0.231432068460925
0.1,"OD",0.22,0.0204066067108311
0.25,"OD",0.22,0.0538845468686253
0.5,"OD",0.22,0.233391753039033
0.1,"OD",0.24,0.0203716070640318
0.25,"OD",0.24,0.0540389314405382
0.5,"OD",0.24,0.235362949881441
0.1,"OD",0.26,0.0203366661993918
0.25,"OD",0.26,0.0541937330029547
0.5,"OD",0.26,0.237345640750706
0.1,"OD",0.28,0.0203017840224574
0.25,"OD",0.28,0.0543489525368281
0.5,"OD",0.28,0.239339805801051
0.1,"OD",0.3,0.0202669604389123
0.25,"OD",0.3,0.0545045910245828
0.5,"OD",0.3,0.241345423563764
