"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","sim","t_ne","selalpha","pstar"
"9",0.01,0,"SA",20000,1e-08,1e-08,1,0.5,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_0.50_0.25_160000_NA_NA",8,0.4375,0.17
"10",0.01,0,"SA",20000,1e-08,1e-08,0.5,1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_1.00_0.25_160000_NA_NA",8,0.4375,0.17
"67",0.01,0.32,"OD",20000,1e-08,1e-08,0.05,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.01_0.00_160000_NA_NA",8,0.06,0.17
"72",0.01,0.2,"OD",20000,1e-08,1e-08,0.5,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_0.20_0.00_160000_NA_NA",8,0.7,0.29
"73",0.01,0.2,"OD",20000,1e-08,1e-08,0.5,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_0.10_0.00_160000_NA_NA",8,0.6,0.17
"74",0.01,0.2,"OD",20000,1e-08,1e-08,0.01,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.01_0.00_160000_NA_NA",8,0.02,0.5
"75",0.01,0.2,"AP",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.10_0.05_0.25_160000_NA_NA",8,0.075625,0.17
"76",0.01,0.29,"SA",20000,1e-08,1e-08,1,1,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.50_160000_NA_NA",8,0.5,0.5
"82",0.01,0.27,"OD",20000,1e-08,1e-08,0.2,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_0.20_0.00_160000_NA_NA",8,0.4,0.5
"83",0.01,0.27,"OD",20000,1e-08,1e-08,0.1,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.02_0.00_160000_NA_NA",8,0.12,0.17
"84",0.01,0.27,"OD",20000,1e-08,1e-08,0.1,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.01_0.00_160000_NA_NA",8,0.11,0.09
"86",0.01,0.27,"AP",20000,1e-08,1e-08,1,1,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.50_160000_NA_NA",8,0.5,0.5
"87",0.01,0.27,"AP",20000,1e-08,1e-08,0.5,1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_1.00_0.25_160000_NA_NA",8,0.8125,0.19
"88",0.01,0.26,"SA",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.50_160000_NA_NA",8,0.02,0.5
"90",0.01,0.26,"AP",20000,1e-08,1e-08,0.2,0.5,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.50_0.25_160000_NA_NA",8,0.3625,0.09
"91",0.01,0.25,"SA",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.25_160000_NA_NA",8,0.105,0.5
"97",0.01,0.25,"AP",20000,1e-08,1e-08,1,1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.25_160000_NA_NA",8,1.125,0.5
"100",0.01,0.24,"OD",20000,1e-08,1e-08,0.1,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.50_0.00_160000_NA_NA",8,0.6,0.17
"101",0.01,0.24,"OD",20000,1e-08,1e-08,0.05,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.02_0.00_160000_NA_NA",8,0.07,0.29
"103",0.01,0.24,"AP",20000,1e-08,1e-08,1,0.5,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_0.50_0.25_160000_NA_NA",8,0.8125,0.19
"105",0.01,0.23,"OD",20000,1e-08,1e-08,1,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.20_0.00_160000_NA_NA",8,1.2,0.17
"106",0.01,0.23,"OD",20000,1e-08,1e-08,0.01,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.05_0.00_160000_NA_NA",8,0.06,0.17
"107",0.01,0.23,"AP",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.50_160000_NA_NA",8,0.02,0.5
"108",0.01,0.23,"AP",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.05_0.25_160000_NA_NA",8,0.0503125,0.5
"109",0.01,0.237623762376238,"OD",20000,1e-08,1e-08,1,1,0,160000,101,"0.01_OD_20000_1e-08_1e-08_1.00_1.00_0.00_160000_NA_NA",8,2,0.5
"110",0.01,0.22,"SA",20000,1e-08,1e-08,1,1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.25_160000_NA_NA",8,0.625,0.5
"111",0.01,0.22,"SA",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.50_160000_NA_NA",8,0.125,0.5
"112",0.01,0.22,"SA",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.25_160000_NA_NA",8,0.0253125,0.5
"114",0.01,0.22,"OD",20000,1e-08,1e-08,0.1,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_1.00_0.00_160000_NA_NA",8,1.1,0.09
"115",0.01,0.22,"OD",20000,1e-08,1e-08,0.02,0.01,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.01_0.00_160000_NA_NA",8,0.03,0.33
"116",0.01,0.22,"AP",20000,1e-08,1e-08,0.5,0.2,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.20_0.25_160000_NA_NA",8,0.3625,0.09
"117",0.01,0.22,"AP",20000,1e-08,1e-08,0.05,0.1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.10_0.25_160000_NA_NA",8,0.075625,0.17
"118",0.01,0.22,"AP",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.01_0.01_0.25_160000_NA_NA",8,0.0100125,0.5
"119",0.01,0.227722772277228,"OD",20000,1e-08,1e-08,0.1,0.1,0,160000,101,"0.01_OD_20000_1e-08_1e-08_0.10_0.10_0.00_160000_NA_NA",8,0.2,0.5
"121",0.01,0.21,"OD",20000,1e-08,1e-08,0.2,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_1.00_0.00_160000_NA_NA",8,1.2,0.17
"122",0.01,0.21,"OD",20000,1e-08,1e-08,0.2,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_0.10_0.00_160000_NA_NA",8,0.3,0.33
"123",0.01,0.21,"OD",20000,1e-08,1e-08,0.1,0.2,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.20_0.00_160000_NA_NA",8,0.3,0.33
"125",0.01,0.21,"OD",20000,1e-08,1e-08,0.1,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.10_0.05_0.00_160000_NA_NA",8,0.15,0.33
"126",0.01,0.21,"OD",20000,1e-08,1e-08,0.05,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.05_0.00_160000_NA_NA",8,0.1,0.5
"127",0.01,0.21,"OD",20000,1e-08,1e-08,0.01,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.10_0.00_160000_NA_NA",8,0.11,0.09
"128",0.01,0.21,"AP",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.10_0.25_160000_NA_NA",8,0.1525,0.17
"129",0.01,0.21,"AP",20000,1e-08,1e-08,0.05,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.05_0.02_0.25_160000_NA_NA",8,0.035125,0.07
"130",0.01,0.21,"AP",20000,1e-08,1e-08,0.02,0.05,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.05_0.25_160000_NA_NA",8,0.035125,0.07
"132",0.01,0.1,"SA",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.02_0.01_0.25_160000_NA_NA",8,0.007525,0.17
"138",0.01,0.19,"AP",20000,1e-08,1e-08,0.5,0.5,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.25_160000_NA_NA",8,0.53125,0.5
"139",0.01,0.19,"AP",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.10_0.20_0.25_160000_NA_NA",8,0.1525,0.17
"140",0.01,0.19,"AP",20000,1e-08,1e-08,0.02,0.01,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.01_0.25_160000_NA_NA",8,0.015025,0.17
"141",0.01,0.18,"SA",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.10_0.25_160000_NA_NA",8,0.0775,0.17
"142",0.01,0.18,"SA",20000,1e-08,1e-08,0.1,0.1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.25_160000_NA_NA",8,0.05125,0.5
"143",0.01,0.18,"SA",20000,1e-08,1e-08,0.1,0.05,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.05_0.25_160000_NA_NA",8,0.038125,0.17
"144",0.01,0.18,"SA",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.02_0.02_0.25_160000_NA_NA",8,0.01005,0.5
"147",0.01,0.18,"OD",20000,1e-08,1e-08,1,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.10_0.00_160000_NA_NA",8,1.1,0.09
"148",0.01,0.18,"OD",20000,1e-08,1e-08,0.05,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.05_0.10_0.00_160000_NA_NA",8,0.15,0.33
"149",0.01,0.18,"AP",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.25_160000_NA_NA",8,0.205,0.5
"153",0.01,0.17,"SA",20000,1e-08,1e-08,0.5,0.5,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.25_160000_NA_NA",8,0.28125,0.5
"154",0.01,0.17,"SA",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.50_160000_NA_NA",8,0.005,0.5
"156",0.01,0.17,"OD",20000,1e-08,1e-08,1,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_1.00_0.50_0.00_160000_NA_NA",8,1.5,0.33
"157",0.01,0.17,"OD",20000,1e-08,1e-08,0.5,1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.50_1.00_0.00_160000_NA_NA",8,1.5,0.33
"158",0.01,0.17,"OD",20000,1e-08,1e-08,0.02,0.1,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.10_0.00_160000_NA_NA",8,0.12,0.17
"159",0.01,0.17,"AP",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.10_0.10_0.50_160000_NA_NA",8,0.005,0.5
"160",0.01,0.17,"AP",20000,1e-08,1e-08,0.1,0.1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.10_0.10_0.25_160000_NA_NA",8,0.10125,0.5
"161",0.01,0.178217821782178,"OD",20000,1e-08,1e-08,0.5,0.5,0,160000,101,"0.01_OD_20000_1e-08_1e-08_0.50_0.50_0.00_160000_NA_NA",8,1,0.5
"162",0.01,0.16,"OD",20000,1e-08,1e-08,0.2,0.5,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.20_0.50_0.00_160000_NA_NA",8,0.7,0.29
"163",0.01,0.16,"OD",20000,1e-08,1e-08,0.02,0.05,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.02_0.05_0.00_160000_NA_NA",8,0.07,0.29
"164",0.01,0.16,"OD",20000,1e-08,1e-08,0.01,0.02,0,160000,100,"0.01_OD_20000_1e-08_1e-08_0.01_0.02_0.00_160000_NA_NA",8,0.03,0.33
"165",0.01,0.15,"SA",20000,1e-08,1e-08,0.01,0.02,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.01_0.02_0.25_160000_NA_NA",8,0.007525,0.17
"168",0.01,0.15,"AP",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.50_0.50_0.50_160000_NA_NA",8,0.125,0.5
"169",0.01,0.14,"SA",20000,1e-08,1e-08,0.1,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.20_0.25_160000_NA_NA",8,0.0775,0.17
"172",0.01,0.14,"AP",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.02_0.25_160000_NA_NA",8,0.02005,0.5
