"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","sim","t_ne","selalpha","pstar"
"567",0.01,0.1,"SA",20000,1e-08,1e-08,0.05,0.05,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.50_160000_NA_NA",8,0.00125,0.5
"578",0.01,0.1,"AP",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.02_0.02_0.25_160000_NA_NA",8,0.02005,0.5
"594",0.01,0.17,"SA",20000,1e-08,1e-08,0.5,0.5,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.50_0.50_0.50_160000_NA_NA",8,0.125,0.5
"601",0.01,0.17,"AP",20000,1e-08,1e-08,1,1,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.25_160000_NA_NA",8,1.125,0.5
"606",0.01,0.16,"SA",20000,1e-08,1e-08,0.05,0.05,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.05_0.05_0.25_160000_NA_NA",8,0.0253125,0.5
"620",0.01,0.15,"SA",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.50_160000_NA_NA",8,0.02,0.5
"621",0.01,0.15,"SA",20000,1e-08,1e-08,0.2,0.2,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.20_0.25_160000_NA_NA",8,0.105,0.5
"636",0.01,0.15,"AP",20000,1e-08,1e-08,0.2,0.2,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_0.20_0.20_0.50_160000_NA_NA",8,0.02,0.5
"637",0.01,0.15,"AP",20000,1e-08,1e-08,0.01,0.01,0.25,160000,100,"0.01_AP_20000_1e-08_1e-08_0.01_0.01_0.25_160000_NA_NA",8,0.0100125,0.5
"641",0.01,0.14,"SA",20000,1e-08,1e-08,1,1,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.50_160000_NA_NA",8,0.5,0.5
"642",0.01,0.14,"SA",20000,1e-08,1e-08,0.02,0.02,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.02_0.02_0.25_160000_NA_NA",8,0.01005,0.5
"657",0.01,0.13,"SA",20000,1e-08,1e-08,0.2,0.1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_0.20_0.10_0.25_160000_NA_NA",8,0.0775,0.17
"666",0.01,0.13,"AP",20000,1e-08,1e-08,1,1,0.5,160000,100,"0.01_AP_20000_1e-08_1e-08_1.00_1.00_0.50_160000_NA_NA",8,0.5,0.5
"670",0.01,0.12,"SA",20000,1e-08,1e-08,1,1,0.25,160000,100,"0.01_SA_20000_1e-08_1e-08_1.00_1.00_0.25_160000_NA_NA",8,0.625,0.5
"671",0.01,0.12,"SA",20000,1e-08,1e-08,0.1,0.1,0.5,160000,100,"0.01_SA_20000_1e-08_1e-08_0.10_0.10_0.50_160000_NA_NA",8,0.005,0.5
