"","alpha","power","seltype","Ne","rec","mut","s1","s2","h","t","nsim","tf","sim","t_ne","selalpha","pstar"
"16356",0.01,0,"OD",20000,1e-08,1e-08,1,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_1.00_0.10_0.00_160000_0.500000_NA",8,1.1,0.09
"16387",0.01,0,"OD",20000,1e-08,1e-08,0.01,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.01_0.10_0.00_160000_0.500000_NA",8,0.11,0.09
"16699",0.01,0.455445544554455,"OD",20000,1e-08,1e-08,1,1,0,160000,101,0.5,"0.01_OD_20000_1e-08_1e-08_1.00_1.00_0.00_160000_0.500000_NA",8,2,0.5
"16818",0.01,0.29,"OD",20000,1e-08,1e-08,0.2,0.2,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.20_0.20_0.00_160000_0.500000_NA",8,0.4,0.5
"16830",0.01,0.287128712871287,"OD",20000,1e-08,1e-08,0.1,0.1,0,160000,101,0.5,"0.01_OD_20000_1e-08_1e-08_0.10_0.10_0.00_160000_0.500000_NA",8,0.2,0.5
"16925",0.01,0.22,"OD",20000,1e-08,1e-08,0.5,1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.50_1.00_0.00_160000_0.500000_NA",8,1.5,0.33
"16960",0.01,0.1,"OD",20000,1e-08,1e-08,0.5,0.2,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.50_0.20_0.00_160000_0.500000_NA",8,0.7,0.29
"17008",0.01,0.18,"OD",20000,1e-08,1e-08,0.02,0.02,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.02_0.02_0.00_160000_0.500000_NA",8,0.04,0.5
"17036",0.01,0.17,"OD",20000,1e-08,1e-08,0.1,0.2,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.10_0.20_0.00_160000_0.500000_NA",8,0.3,0.33
"17060",0.01,0.16,"OD",20000,1e-08,1e-08,0.01,0.01,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.01_0.01_0.00_160000_0.500000_NA",8,0.02,0.5
"17070",0.01,0.168316831683168,"OD",20000,1e-08,1e-08,0.5,0.5,0,160000,101,0.5,"0.01_OD_20000_1e-08_1e-08_0.50_0.50_0.00_160000_0.500000_NA",8,1,0.5
"17087",0.01,0.15,"OD",20000,1e-08,1e-08,0.05,0.05,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.05_0.05_0.00_160000_0.500000_NA",8,0.1,0.5
"17113",0.01,0.14,"OD",20000,1e-08,1e-08,1,0.5,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_1.00_0.50_0.00_160000_0.500000_NA",8,1.5,0.33
"17117",0.01,0.14,"OD",20000,1e-08,1e-08,0.02,0.01,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.02_0.01_0.00_160000_0.500000_NA",8,0.03,0.33
"17142",0.01,0.13,"OD",20000,1e-08,1e-08,0.05,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.05_0.10_0.00_160000_0.500000_NA",8,0.15,0.33
"17143",0.01,0.13,"OD",20000,1e-08,1e-08,0.01,0.02,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.01_0.02_0.00_160000_0.500000_NA",8,0.03,0.33
"17170",0.01,0.12,"OD",20000,1e-08,1e-08,0.2,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.20_0.10_0.00_160000_0.500000_NA",8,0.3,0.33
"17200",0.01,0.11,"OD",20000,1e-08,1e-08,0.1,0.05,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.10_0.05_0.00_160000_0.500000_NA",8,0.15,0.33
"17238",0.01,0.09,"OD",20000,1e-08,1e-08,0.02,0.05,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.02_0.05_0.00_160000_0.500000_NA",8,0.07,0.29
"17312",0.01,0.07,"OD",20000,1e-08,1e-08,0.2,0.5,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.20_0.50_0.00_160000_0.500000_NA",8,0.7,0.29
"17407",0.01,0.05,"OD",20000,1e-08,1e-08,0.05,0.02,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.05_0.02_0.00_160000_0.500000_NA",8,0.07,0.29
"17616",0.01,0.02,"OD",20000,1e-08,1e-08,0.5,0.1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.50_0.10_0.00_160000_0.500000_NA",8,0.6,0.17
"17625",0.01,0.02,"OD",20000,1e-08,1e-08,0.05,0.01,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.05_0.01_0.00_160000_0.500000_NA",8,0.06,0.17
"17633",0.01,0.02,"OD",20000,1e-08,1e-08,0.01,0.05,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.01_0.05_0.00_160000_0.500000_NA",8,0.06,0.17
"17745",0.01,0.01,"OD",20000,1e-08,1e-08,1,0.2,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_1.00_0.20_0.00_160000_0.500000_NA",8,1.2,0.17
"17746",0.01,0.01,"OD",20000,1e-08,1e-08,0.2,1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.20_1.00_0.00_160000_0.500000_NA",8,1.2,0.17
"17752",0.01,0.01,"OD",20000,1e-08,1e-08,0.1,1,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.10_1.00_0.00_160000_0.500000_NA",8,1.1,0.09
"17754",0.01,0.01,"OD",20000,1e-08,1e-08,0.1,0.5,0,160000,100,0.5,"0.01_OD_20000_1e-08_1e-08_0.10_0.50_0.00_160000_0.500000_NA",8,0.6,0.17
